Rank,ID,Category,Skills_Total,Skills_Matched,Skills_Missing,Match_Score,Matched_Skills,Missing_Skills,Category_Level,Weighted_Score,TFIDF_Score,Combined_Score
15,23011221,Good Match,26,15,11,57.7,"['benefits', 'shrm', 'ada', 'compensation', 'employment law', 'orientation', 'paychex', 'fmla', 'payroll', 'powerpoint', 'recruitment', 'microsoft office', 'adp', 'compliance', 'conflict resolution']","['employee relations', 'talent acquisition', 'performance management', 'phr', 'dental', 'kronos', 'onboarding', 'word', 'hris', 'excel', 'workers compensation']",Good Match (Consider),77.7,47.2,54.6
16,29297393,Good Match,24,15,11,57.7,"['employee relations', 'performance management', 'benefits', 'phr', 'dental', 'compensation', 'orientation', 'powerpoint', 'payroll', 'word', 'hris', 'adp', 'compliance', 'excel', 'recruitment']","['talent acquisition', 'shrm', 'ada', 'paychex', 'employment law', 'fmla', 'kronos', 'onboarding', 'microsoft office', 'workers compensation', 'conflict resolution']",Good Match (Consider),72.7,11.2,43.8
17,12786012,Good Match,25,15,11,57.7,"['employee relations', 'performance management', 'benefits', 'compensation', 'employment law', 'orientation', 'recruitment', 'fmla', 'payroll', 'onboarding', 'hris', 'workers compensation', 'compliance', 'excel', 'conflict resolution']","['talent acquisition', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'powerpoint', 'kronos', 'word', 'microsoft office', 'adp']",Good Match (Consider),62.7,41.7,52.9
18,34740556,Good Match,33,15,11,57.7,"['employee relations', 'benefits', 'ada', 'compensation', 'employment law', 'orientation', 'recruitment', 'fmla', 'powerpoint', 'onboarding', 'word', 'workers compensation', 'compliance', 'excel', 'conflict resolution']","['talent acquisition', 'performance management', 'shrm', 'phr', 'dental', 'paychex', 'kronos', 'payroll', 'microsoft office', 'hris', 'adp']",Good Match (Consider),62.7,36.4,51.3
19,28828844,Good Match,26,14,12,53.8,"['employee relations', 'talent acquisition', 'performance management', 'benefits', 'compensation', 'orientation', 'fmla', 'payroll', 'powerpoint', 'word', 'adp', 'compliance', 'excel', 'conflict resolution']","['shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'recruitment', 'kronos', 'onboarding', 'microsoft office', 'hris', 'workers compensation']",Good Match (Consider),58.8,48.9,52.3
20,15041689,Good Match,32,14,12,53.8,"['employee relations', 'performance management', 'benefits', 'phr', 'compensation', 'employment law', 'recruitment', 'fmla', 'payroll', 'onboarding', 'hris', 'adp', 'compliance', 'conflict resolution']","['talent acquisition', 'shrm', 'ada', 'dental', 'paychex', 'orientation', 'powerpoint', 'kronos', 'word', 'microsoft office', 'excel', 'workers compensation']",Good Match (Consider),73.8,58.4,55.2
21,30563572,Good Match,33,14,12,53.8,"['employee relations', 'talent acquisition', 'performance management', 'benefits', 'compensation', 'employment law', 'orientation', 'recruitment', 'powerpoint', 'word', 'hris', 'compliance', 'excel', 'workers compensation']","['shrm', 'ada', 'phr', 'dental', 'paychex', 'fmla', 'kronos', 'payroll', 'onboarding', 'microsoft office', 'adp', 'conflict resolution']",Good Match (Consider),58.8,17.4,42.9
22,17855844,Good Match,28,14,12,53.8,"['employee relations', 'performance management', 'benefits', 'ada', 'phr', 'compensation', 'orientation', 'powerpoint', 'kronos', 'word', 'hris', 'compliance', 'excel', 'recruitment']","['talent acquisition', 'shrm', 'dental', 'paychex', 'employment law', 'fmla', 'payroll', 'onboarding', 'microsoft office', 'workers compensation', 'adp', 'conflict resolution']",Good Match (Consider),63.8,40.3,49.7
23,24508725,Good Match,32,14,12,53.8,"['employee relations', 'benefits', 'phr', 'orientation', 'fmla', 'payroll', 'powerpoint', 'word', 'microsoft office', 'hris', 'adp', 'compliance', 'excel', 'recruitment']","['talent acquisition', 'performance management', 'shrm', 'ada', 'dental', 'compensation', 'employment law', 'paychex', 'kronos', 'onboarding', 'workers compensation', 'conflict resolution']",Good Match (Consider),68.8,44.3,50.9
24,17412079,Good Match,32,14,12,53.8,"['employee relations', 'performance management', 'benefits', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'word', 'hris', 'compliance', 'excel', 'conflict resolution']","['talent acquisition', 'shrm', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'onboarding', 'microsoft office', 'adp', 'workers compensation']",Good Match (Consider),63.8,51.3,53.0
25,86184722,Good Match,25,14,12,53.8,"['employee relations', 'performance management', 'benefits', 'compensation', 'orientation', 'recruitment', 'kronos', 'payroll', 'microsoft office', 'hris', 'workers compensation', 'adp', 'compliance', 'conflict resolution']","['talent acquisition', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'powerpoint', 'onboarding', 'word', 'excel']",Good Match (Consider),58.8,51.2,53.0
26,30862904,Good Match,22,13,13,50.0,"['employee relations', 'talent acquisition', 'performance management', 'benefits', 'shrm', 'ada', 'phr', 'compensation', 'fmla', 'payroll', 'onboarding', 'compliance', 'recruitment']","['dental', 'paychex', 'employment law', 'orientation', 'powerpoint', 'kronos', 'word', 'microsoft office', 'hris', 'workers compensation', 'adp', 'excel', 'conflict resolution']",Good Match (Consider),60.0,38.5,46.6
27,19616406,Good Match,27,13,13,50.0,"['employee relations', 'benefits', 'shrm', 'dental', 'compensation', 'employment law', 'orientation', 'fmla', 'payroll', 'onboarding', 'hris', 'compliance', 'workers compensation']","['talent acquisition', 'performance management', 'ada', 'phr', 'paychex', 'recruitment', 'powerpoint', 'kronos', 'word', 'microsoft office', 'adp', 'excel', 'conflict resolution']",Good Match (Consider),65.0,52.6,50.8
28,13343786,Good Match,27,13,13,50.0,"['employee relations', 'benefits', 'shrm', 'ada', 'dental', 'compensation', 'orientation', 'fmla', 'payroll', 'hris', 'adp', 'compliance', 'workers compensation']","['talent acquisition', 'performance management', 'phr', 'paychex', 'employment law', 'recruitment', 'powerpoint', 'kronos', 'onboarding', 'word', 'microsoft office', 'excel', 'conflict resolution']",Good Match (Consider),65.0,38.0,46.4
29,93112113,Good Match,25,13,13,50.0,"['employee relations', 'performance management', 'benefits', 'phr', 'compensation', 'employment law', 'orientation', 'recruitment', 'fmla', 'payroll', 'hris', 'compliance', 'workers compensation']","['talent acquisition', 'shrm', 'ada', 'dental', 'paychex', 'powerpoint', 'kronos', 'onboarding', 'word', 'microsoft office', 'adp', 'excel', 'conflict resolution']",Good Match (Consider),65.0,24.7,42.4
30,44476983,Good Match,25,13,13,50.0,"['employee relations', 'talent acquisition', 'performance management', 'benefits', 'ada', 'fmla', 'payroll', 'powerpoint', 'word', 'hris', 'compliance', 'excel', 'recruitment']","['shrm', 'phr', 'dental', 'compensation', 'employment law', 'orientation', 'paychex', 'kronos', 'onboarding', 'microsoft office', 'workers compensation', 'adp', 'conflict resolution']",Good Match (Consider),50.0,11.2,38.4
31,73077810,Good Match,24,13,13,50.0,"['employee relations', 'performance management', 'benefits', 'compensation', 'orientation', 'recruitment', 'fmla', 'payroll', 'onboarding', 'hris', 'adp', 'compliance', 'conflict resolution']","['talent acquisition', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'powerpoint', 'kronos', 'word', 'microsoft office', 'excel', 'workers compensation']",Good Match (Consider),55.0,42.9,47.9
32,21830565,Good Match,27,13,13,50.0,"['employee relations', 'performance management', 'benefits', 'shrm', 'phr', 'compensation', 'employment law', 'orientation', 'fmla', 'payroll', 'workers compensation', 'compliance', 'conflict resolution']","['talent acquisition', 'ada', 'dental', 'paychex', 'powerpoint', 'kronos', 'onboarding', 'word', 'microsoft office', 'hris', 'adp', 'excel', 'recruitment']",Good Match (Consider),65.0,64.2,54.3
33,27726066,Good Match,23,13,13,50.0,"['benefits', 'phr', 'compensation', 'orientation', 'recruitment', 'kronos', 'payroll', 'onboarding', 'microsoft office', 'hris', 'compliance', 'excel', 'conflict resolution']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'powerpoint', 'word', 'adp', 'workers compensation']",Good Match (Consider),60.0,49.3,49.8
34,18827609,Good Match,22,13,13,50.0,"['employee relations', 'talent acquisition', 'benefits', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'hris', 'adp', 'compliance', 'excel', 'recruitment']","['performance management', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'payroll', 'powerpoint', 'word', 'workers compensation', 'conflict resolution']",Good Match (Consider),65.0,40.3,47.1
35,51777546,Weak Match,21,12,14,46.2,"['benefits', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'compliance', 'excel', 'workers compensation']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'hris', 'adp', 'conflict resolution']",Weak Match (Maybe),46.2,38.0,43.7
36,25824789,Weak Match,22,12,14,46.2,"['employee relations', 'performance management', 'benefits', 'shrm', 'ada', 'compensation', 'orientation', 'fmla', 'microsoft office', 'hris', 'compliance', 'conflict resolution']","['talent acquisition', 'phr', 'dental', 'paychex', 'employment law', 'recruitment', 'powerpoint', 'kronos', 'payroll', 'onboarding', 'word', 'adp', 'excel', 'workers compensation']",Weak Match (Maybe),56.2,47.8,46.7
37,23408537,Weak Match,24,12,14,46.2,"['performance management', 'benefits', 'shrm', 'powerpoint', 'payroll', 'word', 'microsoft office', 'hris', 'adp', 'compliance', 'excel', 'recruitment']","['employee relations', 'talent acquisition', 'ada', 'phr', 'dental', 'compensation', 'employment law', 'orientation', 'paychex', 'fmla', 'kronos', 'onboarding', 'workers compensation', 'conflict resolution']",Weak Match (Maybe),61.2,37.7,43.7
38,18155310,Weak Match,30,12,14,46.2,"['performance management', 'shrm', 'compensation', 'fmla', 'kronos', 'payroll', 'powerpoint', 'word', 'workers compensation', 'compliance', 'excel', 'conflict resolution']","['employee relations', 'talent acquisition', 'benefits', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'orientation', 'onboarding', 'microsoft office', 'hris', 'adp', 'recruitment']",Weak Match (Maybe),56.2,29.1,41.1
39,28175164,Weak Match,28,12,14,46.2,"['performance management', 'benefits', 'shrm', 'compensation', 'orientation', 'recruitment', 'payroll', 'microsoft office', 'hris', 'adp', 'compliance', 'conflict resolution']","['employee relations', 'talent acquisition', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'word', 'excel', 'workers compensation']",Weak Match (Maybe),61.2,30.5,41.5
40,17422560,Weak Match,20,12,14,46.2,"['employee relations', 'benefits', 'compensation', 'orientation', 'fmla', 'payroll', 'powerpoint', 'word', 'adp', 'compliance', 'excel', 'workers compensation']","['talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'recruitment', 'kronos', 'onboarding', 'microsoft office', 'hris', 'conflict resolution']",Weak Match (Maybe),51.2,46.9,46.4
41,25676643,Weak Match,27,12,14,46.2,"['performance management', 'benefits', 'compensation', 'orientation', 'recruitment', 'fmla', 'powerpoint', 'onboarding', 'word', 'compliance', 'excel', 'workers compensation']","['employee relations', 'talent acquisition', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'kronos', 'payroll', 'microsoft office', 'hris', 'adp', 'conflict resolution']",Weak Match (Maybe),46.2,34.0,42.5
42,30646367,Weak Match,19,12,14,46.2,"['benefits', 'dental', 'compensation', 'paychex', 'powerpoint', 'payroll', 'word', 'hris', 'workers compensation', 'compliance', 'excel', 'conflict resolution']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'employment law', 'orientation', 'fmla', 'kronos', 'onboarding', 'microsoft office', 'adp', 'recruitment']",Weak Match (Maybe),51.2,41.5,44.8
43,39970711,Weak Match,22,12,14,46.2,"['employee relations', 'performance management', 'benefits', 'ada', 'phr', 'dental', 'compensation', 'employment law', 'orientation', 'fmla', 'hris', 'recruitment']","['talent acquisition', 'shrm', 'paychex', 'powerpoint', 'kronos', 'payroll', 'onboarding', 'microsoft office', 'word', 'workers compensation', 'adp', 'compliance', 'excel', 'conflict resolution']",Weak Match (Maybe),61.2,51.5,47.8
44,33176873,Weak Match,24,12,14,46.2,"['performance management', 'benefits', 'shrm', 'compensation', 'recruitment', 'fmla', 'payroll', 'word', 'hris', 'compliance', 'excel', 'workers compensation']","['employee relations', 'talent acquisition', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'orientation', 'powerpoint', 'kronos', 'onboarding', 'microsoft office', 'adp', 'conflict resolution']",Weak Match (Maybe),56.2,12.4,36.1
45,32896934,Weak Match,18,11,15,42.3,"['employee relations', 'performance management', 'benefits', 'shrm', 'compensation', 'orientation', 'payroll', 'kronos', 'onboarding', 'workers compensation', 'recruitment']","['talent acquisition', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'powerpoint', 'word', 'microsoft office', 'hris', 'adp', 'compliance', 'excel', 'conflict resolution']",Weak Match (Maybe),52.3,33.8,39.7
46,53701275,Weak Match,19,11,15,42.3,"['performance management', 'benefits', 'compensation', 'recruitment', 'powerpoint', 'payroll', 'word', 'microsoft office', 'compliance', 'excel', 'conflict resolution']","['employee relations', 'talent acquisition', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'orientation', 'fmla', 'kronos', 'onboarding', 'hris', 'adp', 'workers compensation']",Weak Match (Maybe),42.3,26.7,37.6
47,38059130,Weak Match,27,11,15,42.3,"['employee relations', 'benefits', 'shrm', 'employment law', 'powerpoint', 'payroll', 'word', 'microsoft office', 'compliance', 'excel', 'recruitment']","['talent acquisition', 'performance management', 'ada', 'phr', 'dental', 'compensation', 'paychex', 'orientation', 'fmla', 'kronos', 'onboarding', 'hris', 'workers compensation', 'adp', 'conflict resolution']",Weak Match (Maybe),57.3,50.2,44.7
48,32947778,Weak Match,25,11,15,42.3,"['employee relations', 'benefits', 'dental', 'compensation', 'orientation', 'recruitment', 'fmla', 'payroll', 'hris', 'compliance', 'workers compensation']","['talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'paychex', 'employment law', 'powerpoint', 'kronos', 'onboarding', 'word', 'microsoft office', 'adp', 'excel', 'conflict resolution']",Weak Match (Maybe),42.3,39.2,41.4
49,13272204,Weak Match,19,11,15,42.3,"['benefits', 'ada', 'dental', 'compensation', 'fmla', 'payroll', 'word', 'hris', 'adp', 'compliance', 'recruitment']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'phr', 'paychex', 'employment law', 'orientation', 'powerpoint', 'kronos', 'onboarding', 'microsoft office', 'workers compensation', 'excel', 'conflict resolution']",Weak Match (Maybe),47.3,45.0,43.1
50,87968870,Weak Match,22,11,15,42.3,"['employee relations', 'performance management', 'benefits', 'ada', 'compensation', 'orientation', 'payroll', 'hris', 'adp', 'compliance', 'recruitment']","['talent acquisition', 'shrm', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'microsoft office', 'word', 'workers compensation', 'excel', 'conflict resolution']",Weak Match (Maybe),47.3,28.7,38.2
51,38698573,Weak Match,19,10,16,38.5,"['employee relations', 'benefits', 'orientation', 'kronos', 'onboarding', 'microsoft office', 'hris', 'compliance', 'excel', 'conflict resolution']","['talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'compensation', 'employment law', 'paychex', 'recruitment', 'fmla', 'payroll', 'powerpoint', 'word', 'adp', 'workers compensation']",Weak Match (Maybe),38.5,38.7,38.6
52,15375009,Weak Match,19,10,16,38.5,"['employee relations', 'benefits', 'dental', 'compensation', 'orientation', 'fmla', 'payroll', 'adp', 'compliance', 'recruitment']","['talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'paychex', 'employment law', 'powerpoint', 'kronos', 'onboarding', 'word', 'microsoft office', 'hris', 'workers compensation', 'excel', 'conflict resolution']",Weak Match (Maybe),43.5,40.1,39.0
53,27490876,Weak Match,21,10,16,38.5,"['employee relations', 'performance management', 'benefits', 'shrm', 'compensation', 'orientation', 'recruitment', 'hris', 'compliance', 'workers compensation']","['talent acquisition', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'payroll', 'onboarding', 'microsoft office', 'powerpoint', 'word', 'adp', 'excel', 'conflict resolution']",Weak Match (Maybe),48.5,46.1,40.8
54,23510685,Weak Match,22,10,16,38.5,"['performance management', 'benefits', 'shrm', 'phr', 'compensation', 'word', 'hris', 'compliance', 'excel', 'recruitment']","['employee relations', 'talent acquisition', 'ada', 'dental', 'paychex', 'employment law', 'orientation', 'fmla', 'kronos', 'payroll', 'onboarding', 'microsoft office', 'powerpoint', 'workers compensation', 'adp', 'conflict resolution']",Weak Match (Maybe),48.5,29.2,35.7
55,57667857,Weak Match,25,10,16,38.5,"['employee relations', 'performance management', 'benefits', 'ada', 'phr', 'compensation', 'orientation', 'payroll', 'compliance', 'recruitment']","['talent acquisition', 'shrm', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'microsoft office', 'word', 'workers compensation', 'hris', 'adp', 'excel', 'conflict resolution']",Weak Match (Maybe),48.5,43.7,40.1
56,31392754,Weak Match,17,10,16,38.5,"['compensation', 'recruitment', 'powerpoint', 'payroll', 'word', 'microsoft office', 'adp', 'compliance', 'excel', 'conflict resolution']","['employee relations', 'talent acquisition', 'performance management', 'benefits', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'orientation', 'fmla', 'kronos', 'onboarding', 'hris', 'workers compensation']",Weak Match (Maybe),43.5,51.7,42.5
57,24588864,Weak Match,15,10,16,38.5,"['performance management', 'dental', 'orientation', 'powerpoint', 'payroll', 'word', 'hris', 'microsoft office', 'excel', 'conflict resolution']","['employee relations', 'talent acquisition', 'benefits', 'shrm', 'ada', 'phr', 'compensation', 'employment law', 'paychex', 'recruitment', 'fmla', 'kronos', 'onboarding', 'adp', 'compliance', 'workers compensation']",Weak Match (Maybe),38.5,21.4,33.4
58,29091445,Weak Match,16,10,16,38.5,"['employee relations', 'benefits', 'shrm', 'compensation', 'powerpoint', 'payroll', 'word', 'workers compensation', 'excel', 'recruitment']","['talent acquisition', 'performance management', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'orientation', 'fmla', 'kronos', 'onboarding', 'microsoft office', 'hris', 'adp', 'compliance', 'conflict resolution']",Weak Match (Maybe),48.5,49.7,41.9
59,20345168,Weak Match,14,9,17,34.6,"['benefits', 'dental', 'paychex', 'compensation', 'payroll', 'word', 'microsoft office', 'adp', 'excel']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'employment law', 'orientation', 'recruitment', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'hris', 'workers compensation', 'compliance', 'conflict resolution']",Weak Match (Maybe),39.6,56.0,41.0
60,25724495,Weak Match,17,9,17,34.6,"['employee relations', 'performance management', 'powerpoint', 'payroll', 'onboarding', 'hris', 'microsoft office', 'excel', 'recruitment']","['talent acquisition', 'benefits', 'shrm', 'ada', 'phr', 'dental', 'compensation', 'employment law', 'orientation', 'paychex', 'fmla', 'kronos', 'word', 'workers compensation', 'adp', 'compliance', 'conflict resolution']",Weak Match (Maybe),34.6,15.7,28.9
61,27165830,Weak Match,25,9,17,34.6,"['employee relations', 'ada', 'employment law', 'fmla', 'payroll', 'word', 'microsoft office', 'compliance', 'excel']","['talent acquisition', 'performance management', 'benefits', 'shrm', 'phr', 'dental', 'compensation', 'paychex', 'orientation', 'recruitment', 'powerpoint', 'kronos', 'onboarding', 'hris', 'workers compensation', 'adp', 'conflict resolution']",Weak Match (Maybe),39.6,56.8,41.3
62,28640735,Weak Match,19,9,17,34.6,"['employee relations', 'talent acquisition', 'performance management', 'benefits', 'shrm', 'compensation', 'orientation', 'payroll', 'recruitment']","['ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'microsoft office', 'word', 'workers compensation', 'hris', 'adp', 'compliance', 'excel', 'conflict resolution']",Weak Match (Maybe),44.6,51.1,39.6
63,59962788,Weak Match,16,9,17,34.6,"['benefits', 'phr', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'compliance', 'recruitment']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'powerpoint', 'word', 'hris', 'workers compensation', 'adp', 'excel', 'conflict resolution']",Weak Match (Maybe),44.6,40.2,36.3
64,43852883,Weak Match,13,9,17,34.6,"['benefits', 'compensation', 'orientation', 'powerpoint', 'payroll', 'word', 'adp', 'compliance', 'excel']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'recruitment', 'fmla', 'kronos', 'onboarding', 'microsoft office', 'hris', 'workers compensation', 'conflict resolution']",Weak Match (Maybe),39.6,25.1,31.8
65,26202430,Weak Match,13,9,17,34.6,"['benefits', 'compensation', 'payroll', 'word', 'hris', 'microsoft office', 'adp', 'compliance', 'excel']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'orientation', 'recruitment', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'workers compensation', 'conflict resolution']",Weak Match (Maybe),39.6,35.5,34.9
66,20993320,Weak Match,18,9,17,34.6,"['benefits', 'shrm', 'phr', 'employment law', 'orientation', 'payroll', 'hris', 'microsoft office', 'adp']","['employee relations', 'talent acquisition', 'performance management', 'ada', 'dental', 'compensation', 'paychex', 'recruitment', 'fmla', 'kronos', 'onboarding', 'powerpoint', 'word', 'workers compensation', 'compliance', 'excel', 'conflict resolution']",Weak Match (Maybe),54.6,62.0,42.8
